"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","P31CP041","Actual rentals for housing","C","Current prices","2008","2008","EUR","Euro","6","Millions",,,4657.03,,
"AUT","Austria","P31CP041","Actual rentals for housing","C","Current prices","2009","2009","EUR","Euro","6","Millions",,,4998.61,,
"AUT","Austria","P31CP041","Actual rentals for housing","C","Current prices","2010","2010","EUR","Euro","6","Millions",,,5269.33,,
"AUT","Austria","P31CP041","Actual rentals for housing","C","Current prices","2011","2011","EUR","Euro","6","Millions",,,5502.13,,
"AUT","Austria","P31CP041","Actual rentals for housing","C","Current prices","2012","2012","EUR","Euro","6","Millions",,,5749.3,,
"AUT","Austria","P31CP041","Actual rentals for housing","C","Current prices","2013","2013","EUR","Euro","6","Millions",,,6074.64,,
"AUT","Austria","P31CP041","Actual rentals for housing","C","Current prices","2014","2014","EUR","Euro","6","Millions",,,6281.57,,
"AUT","Austria","P31CP041","Actual rentals for housing","C","Current prices","2015","2015","EUR","Euro","6","Millions",,,6613.86,,
"AUT","Austria","P31CP041","Actual rentals for housing","C","Current prices","2016","2016","EUR","Euro","6","Millions",,,7038.52,,
"AUT","Austria","P31CP042","Imputed rentals for housing","C","Current prices","1995","1995","EUR","Euro","6","Millions",,,8433.33,,
"AUT","Austria","P31CP042","Imputed rentals for housing","C","Current prices","1996","1996","EUR","Euro","6","Millions",,,8960.85,,
"AUT","Austria","P31CP042","Imputed rentals for housing","C","Current prices","1997","1997","EUR","Euro","6","Millions",,,9129.61,,
"AUT","Austria","P31CP042","Imputed rentals for housing","C","Current prices","1998","1998","EUR","Euro","6","Millions",,,9499.69,,
"AUT","Austria","P31CP042","Imputed rentals for housing","C","Current prices","1999","1999","EUR","Euro","6","Millions",,,9997.6,,
"AUT","Austria","P31CP042","Imputed rentals for housing","C","Current prices","2000","2000","EUR","Euro","6","Millions",,,10394.9,,
"AUT","Austria","P31CP042","Imputed rentals for housing","C","Current prices","2001","2001","EUR","Euro","6","Millions",,,10754.35,,
"AUT","Austria","P31CP042","Imputed rentals for housing","C","Current prices","2002","2002","EUR","Euro","6","Millions",,,11307.64,,
